nombre,correo,contraseña,rol,fecha_registro
Juan Ramírez,juan.ramírez85@gmail.com,cb71cd3f59909532b783257f5f97d0502af258231f9d17cbe762799c0bb4a0f6,admin,2023-04-10 17:25:59.720243
María García,maría.garcía36@gmail.com,e6c3da5b206634d7f3f3586d747ffdb36b5c675757b380c6a5fe5c570c714349,profesor,2025-07-22 17:25:59.720265
Carlos Martínez,carlos.martínez97@gmail.com,1ba3d16e9881959f8c9a9762854f72c6e6321cdd44358a10a4e939033117eab9,estudiante,2024-04-09 17:25:59.720278
Luis Hernández,luis.hernández29@gmail.com,3acb59306ef6e660cf832d1d34c4fba3d88d616f0bb5c2a9e0f82d18ef6fc167,estudiante,2024-05-24 17:25:59.720286
María Hernández,maría.hernández17@gmail.com,a417b5dc3d06d15d91c6687e27fc1705ebc56b3b2d813abe03066e5643fe4e74,estudiante,2024-07-17 17:25:59.720293
Carlos Martínez,carlos.martínez3@gmail.com,0eeac8171768d0cdef3a20fee6db4362d019c91e10662a6b55186336e1a42778,profesor,2024-12-22 17:25:59.720300
Andrés Pérez,andrés.pérez36@gmail.com,5c4950c94a3461441c356afa783f76b83b38fd65f730f291403efbcc798acc1f,estudiante,2024-06-12 17:25:59.720308
Valentina García,valentina.garcía89@gmail.com,1526f5e0e31d42fe1c3664ce923ac22ac1333417a90b32043797ac454cd03112,estudiante,2025-10-24 17:25:59.720315
Luis López,luis.lópez56@gmail.com,c8fea5b0b76dc690feaf5544749f99b40e78e2a37c0e867a086696509416302a,admin,2023-10-22 17:25:59.720322
Sofía García,sofía.garcía94@gmail.com,2d4589473fb3f4581d7452cd25182159d68d2a50056a0cce35a529b010e32f2b,admin,2024-05-23 17:25:59.720328
Valentina Gómez,valentina.gómez20@gmail.com,b35892cb8b089e03e4420b94df688122a2b76d4ad0f8b94ad20808bb029e48a5,admin,2025-07-17 17:25:59.720335
Valentina Gómez,valentina.gómez90@gmail.com,8057f787ebd8b4f9d40f53d7fbbfcbdde7067c1a074435b68f525b3de0e2ac2b,profesor,2023-09-24 17:25:59.720341
Carlos Gómez,carlos.gómez89@gmail.com,fdac810d0c09f25c5ddcee9976ab1f1ae1973dba7c65152d95b0937bc2a6c883,profesor,2025-03-25 17:25:59.720352
Pedro Martínez,pedro.martínez2@gmail.com,1e53de2a2b4ab888cc24002ef8832d433b21956ab83ddeef989c8224b5c8f9f2,estudiante,2024-02-25 17:25:59.720359
Pedro López,pedro.lópez91@gmail.com,b78f24953963ac5ed773d6ec83120e3b1a65510201dc09ed2ed9e9781ba88870,estudiante,2023-08-27 17:25:59.720366
Valentina García,valentina.garcía41@gmail.com,b5a4ec869015095060b1171791334513f741177c4011e2c5c36e3e37a5ff8e5f,estudiante,2023-08-25 17:25:59.720372
Carlos Pérez,carlos.pérez98@gmail.com,f0c28ba3fd9e0dcdcd0470acfcb98cc5a58d7d93422dbbefb930455ef714c87d,estudiante,2024-01-11 17:25:59.720378
María López,maría.lópez30@gmail.com,4a6b7fa040bcfc734a113fee84d3789c0a626d70d029afad0d1c3e7b6c562e14,profesor,2024-03-28 17:25:59.720387
